Acronym,Expansion
GSA,General Services Administration
CMS,Centers for Medicare and Medicaid Services
USDS,U.S. Digital Service
DOL,Department of Labor
VBMS,Veterans Benefit Management System
FEA,Federal Enterprise Architecture
COTR,Contracting Officer Technical Representative
OMB,Office of Management and Budget
GDS,Government Digital Service (UK)
18F,GSA digital unit
FCC,Federal Communications Commission
CFPB,Consumer Finance Protection Bureau
APA,Administrative Procedures Act
SEC,Securities and Exchange Commission
EPA,Environmental Protection Agency
FTC,Federal Trade Commission
CHIP,Children's Health Insurance Program
MACRA,Medicare Access and CHIP Reauthorization Act
HHS,U.S. Department of Health and Human Services
SBA,Small Business Administration
HUD,Housing & Urban Development
USDA,United States Department of Agriculture
FCC,Federal Communications Commission
EDD,Employment Development Department
DA,District Attorney
RAP,Records of Arrests and Prosecutions
API,Application Programming Interface
BPA,Blanket Purchase Agreement
CFO,Chief Financial Officer
CIO,Chief Information Officer
COTS,"Commercial-off-the-shelf"
DEIA,"Diversity, Equity, Inclusion, and Accessibility"
FEDRAMP,Federal Risk and Authorization Management Program
A&A,"Assessment and Authorization"
GOTS,"Government-off-the-shelf"
IA,Information Assurance
